"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
58,"tiny_number","CSPAN2_20120805_230000_Book_TV","Book TV : CSPAN2 : August 5, 2012 7:00pm-7:45pm EDT","http://archive.org/download/CSPAN2_20120805_230000_Book_TV/CSPAN2_20120805_230000_Book_TV.mp4?t=2002/2032&ignore=x.mp4","joe allen","yes","no","black veterans","people","NA","NA","yes","yes","no","right","pinch","precision_grip","CHECK","NA",NA,NA,NA
60,"tiny_number","CSPAN3_20120401_003000","CSPAN3 : March 31, 2012 8:30pm-9:00pm EDT","http://archive.org/download/CSPAN3_20120401_003000/CSPAN3_20120401_003000.mp4?t=387/417&ignore=x.mp4","joan cashin","yes","no","abolitionists","people","NA","NA","yes","yes","no","right","pinch","precision_grip","CHECK","NA",NA,NA,NA
62,"tiny_number","CURRENT_20120717_040000_The_War_Room_With_Jennifer_Granholm","The War Room With Jennifer Granholm : CURRENT : July 16, 2012 9:00pm-10:00pm PDT","http://archive.org/download/CURRENT_20120717_040000_The_War_Room_With_Jennifer_Granholm/CURRENT_20120717_040000_The_War_Room_With_Jennifer_Granholm.mp4?t=987/1017&ignore=x.mp4","jennifer granholm","yes","yes","americans","people","197","NA","yes","yes","yes","both","pinch","precision_grip","no","NA",NA,NA,NA
64,"tiny_number","KQED_20120505_083000_This_Week_in_Northern_California","This Week in Northern California : KQED : May 5, 2012 1:30am-2:00am PDT","http://archive.org/download/KQED_20120505_083000_This_Week_in_Northern_California/KQED_20120505_083000_This_Week_in_Northern_California.mp4?t=678/708&ignore=x.mp4","david bacon","yes","yes","wealthy people ","people","NA","NA","yes","yes","yes","both","pinch","precision_grip","yes","NA",NA,NA,NA
67,"tiny_number","SFGTV_20130312_223000","SFGTV : March 12, 2013 3:30pm-4:00pm PDT","http://archive.org/download/SFGTV_20130312_223000/SFGTV_20130312_223000.mp4?t=1125/1155&ignore=x.mp4","eric mar","yes","no","in use jobs","jobs","40","percent","yes","yes","no","right","open","NA","NA","up",NA,NA,"CHECK"
69,"tiny_number","KCSM_20131019_000000_RT_News","RT News : KCSM : October 18, 2013 5:00pm-5:31pm PDT","http://archive.org/download/KCSM_20131019_000000_RT_News/KCSM_20131019_000000_RT_News.mp4?t=1411/1441&ignore=x.mp4","richard wolff","yes","no","people ","people","NA","NA","yes","yes","yes","right","pinch","grappolo","NA","NA",NA,NA,"interesting because it's two-handed and only for the pinch one-handed"
75,"tiny_number","BLOOMBERG_20140321_170000_Bloomberg_West","Bloomberg West : BLOOMBERG : March 21, 2014 1:00pm-2:01pm EDT","http://archive.org/download/BLOOMBERG_20140321_170000_Bloomberg_West/BLOOMBERG_20140321_170000_Bloomberg_West.mp4?t=506/536&ignore=x.mp4","alan paller","yes","no","phone numbers","other","NA","NA","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,"refers to it again \"tiny fraction\" and repeats th gesture"
77,"tiny_number","KQED_20140222_093000_Washington_Week_With_Gwen_Ifill","Washington Week With Gwen Ifill : KQED : February 22, 2014 1:30am-2:01am PST","http://archive.org/download/KQED_20140222_093000_Washington_Week_With_Gwen_Ifill/KQED_20140222_093000_Washington_Week_With_Gwen_Ifill.mp4?t=594/624&ignore=x.mp4","greg ip","yes","no","people","people","5e+06","NA","yes","yes","no","NA","NA","NA","NA","NA",NA,NA,"looks like a pinch but difficult to determine"
81,"tiny_number","CNNW_20141019_210000_CNN_Newsroom","CNN Newsroom : CNNW : October 19, 2014 2:00pm-3:01pm PDT","http://archive.org/download/CNNW_20141019_210000_CNN_Newsroom/CNNW_20141019_210000_CNN_Newsroom.mp4?t=2158/2188&ignore=x.mp4","alexander van tulleken","yes","no","people with Ebola/ cases of enterovirus","people","NA","NA","yes","yes","no","left","open","NA","NA","side",NA,NA,"repetition"
82,"tiny_number","CSPAN_20150622_043400_Senator_Bernie_Sander_I-VT_Town_Hall_Meeting","Senator Bernie Sander I-VT Town Hall Meeting : CSPAN : June 22, 2015 12:34am-1:35am EDT","http://archive.org/download/CSPAN_20150622_043400_Senator_Bernie_Sander_I-VT_Town_Hall_Meeting/CSPAN_20150622_043400_Senator_Bernie_Sander_I-VT_Town_Hall_Meeting.mp4?t=683/713&ignore=x.mp4","bernie sanders","yes","no","wealthy people ","people","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,NA
83,"tiny_number","FOXNEWSW_20150701_170000_Happening_Now","Happening Now : FOXNEWSW : July 1, 2015 10:00am-11:01am PDT","http://archive.org/download/FOXNEWSW_20150701_170000_Happening_Now/FOXNEWSW_20150701_170000_Happening_Now.mp4?t=2501/2531&ignore=x.mp4","kathleen berchelmann","yes","no","people ","people","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,"second hand could be involved but is not visible"
86,"tiny_number","COM_20150804_060000_The_Daily_Show_With_Jon_Stewart","The Daily Show With Jon Stewart : COM : August 3, 2015 11:00pm-11:32pm PDT","http://archive.org/download/COM_20150804_060000_The_Daily_Show_With_Jon_Stewart/COM_20150804_060000_The_Daily_Show_With_Jon_Stewart.mp4?t=264/294&ignore=x.mp4","jon stewart","yes","no","people","people","NA","NA","yes","yes","left","left","NA","NA","NA","NA",NA,NA,NA
89,"tiny_number","CNNW_20141222_220000_The_Situation_Room","The Situation Room : CNNW : December 22, 2014 2:00pm-4:01pm PST","http://archive.org/download/CNNW_20141222_220000_The_Situation_Room/CNNW_20141222_220000_The_Situation_Room.mp4?t=5066/5096&ignore=x.mp4","wolf blitzer","yes","no","chants","other","NA","NA","yes","yes","right","both","pinch","CHECK","CHECK","NA",NA,NA,NA
90,"tiny_number","CSPAN_20150901_140000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN : September 1, 2015 10:00am-12:01pm EDT","http://archive.org/download/CSPAN_20150901_140000_Key_Capitol_Hill_Hearings/CSPAN_20150901_140000_Key_Capitol_Hill_Hearings.mp4?t=3852/3882&ignore=x.mp4","avik roy","yes","yes","patients","people","NA","NA","yes","yes","no","both","intertwined","NA","NA","NA",NA,NA,"slowly moves them together"
99,"tiny_number","KQED_20110308_020000_PBS_NewsHour","PBS NewsHour : KQED : March 7, 2011 6:00pm-7:00pm PST","http://archive.org/download/KQED_20110308_020000_PBS_NewsHour/KQED_20110308_020000_PBS_NewsHour.mp4?t=3152/3182&ignore=x.mp4","scott shane","yes","no","detainees","people","NA","NA","yes","yes","no","left","pinch","precision_grip","no","NA",NA,NA,"second hand could be involved but is not visible"
110,"tiny_number","CSPAN2_20100117_020000_Book_TV","Book TV : CSPAN2 : January 16, 2010 9:00pm-10:00pm EST","http://archive.org/download/CSPAN2_20100117_020000_Book_TV/CSPAN2_20100117_020000_Book_TV.mp4?t=551/581&ignore=x.mp4","atul gawande","yes","no","ct scans ","other","NA","NA","yes","yes","right","right","pinch","precision_grip","yes","NA",NA,NA,NA
111,"tiny_number","CSPAN2_20110220_190000_Book_TV","Book TV : CSPAN2 : February 20, 2011 2:00pm-3:00pm EST","http://archive.org/download/CSPAN2_20110220_190000_Book_TV/CSPAN2_20110220_190000_Book_TV.mp4?t=1608/1638&ignore=x.mp4","elaine showalter","yes","no","exceptions to copyright ","other","2","NA","yes","yes","no","left","open","NA","NA","down",NA,NA,"discuss; she makes a little two in advance"
113,"tiny_number","CSPAN2_20120902_020000_Book_TV_After_Words","Book TV After Words : CSPAN2 : September 1, 2012 10:00pm-11:00pm EDT","http://archive.org/download/CSPAN2_20120902_020000_Book_TV_After_Words/CSPAN2_20120902_020000_Book_TV_After_Words.mp4?t=1178/1208&ignore=x.mp4","james steele","yes","no","people","people","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,NA
117,"tiny_number","FOXNEWSW_20121126_000000_FOX_Report","FOX Report : FOXNEWSW : November 25, 2012 4:00pm-5:00pm PST","http://archive.org/download/FOXNEWSW_20121126_000000_FOX_Report/FOXNEWSW_20121126_000000_FOX_Report.mp4?t=1150/1180&ignore=x.mp4","harris faulkner","yes","no","federal debt ","financial","NA","NA","yes","yes","NA","right","pinch","lobster_claw","yes","NA",NA,NA,NA
119,"tiny_number","FOXNEWSW_20130227_200000_Studio_B_With_Shepard_Smith","Studio B With Shepard Smith : FOXNEWSW : February 27, 2013 12:00pm-1:00pm PST","http://archive.org/download/FOXNEWSW_20130227_200000_Studio_B_With_Shepard_Smith/FOXNEWSW_20130227_200000_Studio_B_With_Shepard_Smith.mp4?t=3365/3395&ignore=x.mp4","mitchell brooks","yes","no","people with narcolepsy","people","0.0001428571","proportion","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,NA
120,"tiny_number","FOXNEWSW_20130819_210000_The_Five","The Five : FOXNEWSW : August 19, 2013 2:00pm-3:01pm PDT","http://archive.org/download/FOXNEWSW_20130819_210000_The_Five/FOXNEWSW_20130819_210000_The_Five.mp4?t=230/260&ignore=x.mp4","bob beckel","yes","no","people arrested ","people","4400000","reference","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,NA
151,"tiny_number","WMPT_20100622_220000_PBS_NewsHour","PBS NewsHour : WMPT : June 22, 2010 6:00pm-7:00pm EDT","http://archive.org/download/WMPT_20100622_220000_PBS_NewsHour/WMPT_20100622_220000_PBS_NewsHour.mp4?t=1677/1707&ignore=x.mp4","elizabeth warren","yes","yes","people","people","NA","NA","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,"contrasts with right body side!"
154,"tiny_number","FOXNEWS_20100912_220000_FOX_News_Sunday_With_Chris_Wallace","FOX News Sunday With Chris Wallace : FOXNEWS : September 12, 2010 6:00pm-7:00pm EDT","http://archive.org/download/FOXNEWS_20100912_220000_FOX_News_Sunday_With_Chris_Wallace/FOXNEWS_20100912_220000_FOX_News_Sunday_With_Chris_Wallace.mp4?t=691/721&ignore=x.mp4","austan goolsbee","yes","no","businesses","companies","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"not contradictory"
157,"tiny_number","CNBC_20120306_230000_Mad_Money","Mad Money : CNBC : March 6, 2012 6:00pm-7:00pm EST","http://archive.org/download/CNBC_20120306_230000_Mad_Money/CNBC_20120306_230000_Mad_Money.mp4?t=3350/3380&ignore=x.mp4","jim cramer","yes","no","company shares","financial","NA","NA","yes","yes","no","left","open","NA","NA","up",NA,NA,"discuss"
158,"tiny_number","WETA_20100718_180500_The_Miller_Center_National_Debates","The Miller Center National Debates : WETA : July 18, 2010 2:05pm-3:00pm EDT","http://archive.org/download/WETA_20100718_180500_The_Miller_Center_National_Debates/WETA_20100718_180500_The_Miller_Center_National_Debates.mp4?t=2180/2210&ignore=x.mp4","richard levin","yes","no","transfer students","people","20","NA","yes","yes","no","left","pinch","cannot_be_determined","cannot_be_determined","NA",NA,NA,NA
169,"tiny_number","CSPAN2_20110306_010000_Book_TV","Book TV : CSPAN2 : March 5, 2011 8:00pm-9:15pm EST","http://archive.org/download/CSPAN2_20110306_010000_Book_TV/CSPAN2_20110306_010000_Book_TV.mp4?t=334/364&ignore=x.mp4","seth mnookin","yes","yes","studies ","other","NA","NA","yes","yes","no","left","pinch","grappolo","NA","NA",NA,NA,NA
172,"tiny_number","CSPAN2_20120903_010000_Book_TV_After_Words","Book TV After Words : CSPAN2 : September 2, 2012 9:00pm-10:00pm EDT","http://archive.org/download/CSPAN2_20120903_010000_Book_TV_After_Words/CSPAN2_20120903_010000_Book_TV_After_Words.mp4?t=1280/1310&ignore=x.mp4","james steele","yes","no","people ","people","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,NA
176,"tiny_number","MSNBC_20110311_050000_The_Rachel_Maddow_Show","The Rachel Maddow Show : MSNBC : March 11, 2011 12:00am-1:00am EST","http://archive.org/download/MSNBC_20110311_050000_The_Rachel_Maddow_Show/MSNBC_20110311_050000_The_Rachel_Maddow_Show.mp4?t=379/409&ignore=x.mp4","rachel maddow","yes","no","rich people","people","NA","NA","yes","yes","no","left","index_finger","NA","NA","NA",NA,NA,NA
177,"tiny_number","MSNBCW_20121009_160000_NOW_With_Alex_Wagner","NOW With Alex Wagner : MSNBCW : October 9, 2012 9:00am-10:00am PDT","http://archive.org/download/MSNBCW_20121009_160000_NOW_With_Alex_Wagner/MSNBCW_20121009_160000_NOW_With_Alex_Wagner.mp4?t=1156/1186&ignore=x.mp4","rana foroohar","yes","yes","federal budget","financial","1.3e-05","percent","yes","yes","no","both","open","NA","NA","up",NA,NA,"CHECK"
179,"tiny_number","MSNBCW_20130115_170000_NOW_With_Alex_Wagner","NOW With Alex Wagner : MSNBCW : January 15, 2013 9:00am-10:00am PST","http://archive.org/download/MSNBCW_20130115_170000_NOW_With_Alex_Wagner/MSNBCW_20130115_170000_NOW_With_Alex_Wagner.mp4?t=1261/1291&ignore=x.mp4","joy reid","yes","no","new voters","people","NA","NA","yes","yes","no","both","pinch","grappolo","NA","NA",NA,NA,NA
182,"tiny_number","MSNBCW_20130318_200000_Martin_Bashir","Martin Bashir : MSNBCW : March 18, 2013 1:00pm-2:00pm PDT","http://archive.org/download/MSNBCW_20130318_200000_Martin_Bashir/MSNBCW_20130318_200000_Martin_Bashir.mp4?t=3240/3270&ignore=x.mp4","jonathan alter","yes","yes","national rifle association members ","people","0.25","proportion","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
185,"tiny_number","FBC_20130501_132000_Varney__Company","Varney & Company : FBC : May 1, 2013 9:20am-11:01am EDT","http://archive.org/download/FBC_20130501_132000_Varney__Company/FBC_20130501_132000_Varney__Company.mp4?t=1696/1726&ignore=x.mp4","betsy mccaughey","yes","no","people","people","1e+08","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,"negated?"
187,"tiny_number","CSPAN2_20131124_030000_After_Words","After Words : CSPAN2 : November 23, 2013 10:00pm-11:01pm EST","http://archive.org/download/CSPAN2_20131124_030000_After_Words/CSPAN2_20131124_030000_After_Words.mp4?t=1356/1386&ignore=x.mp4","larry sabato","yes","no","votes","votes","10000","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,NA
193,"tiny_number","CSPAN2_20140330_040000_Book_Discussion_on_Countdown","Book Discussion on Countdown : CSPAN2 : March 30, 2014 12:00am-1:01am EDT","http://archive.org/download/CSPAN2_20140330_040000_Book_Discussion_on_Countdown/CSPAN2_20140330_040000_Book_Discussion_on_Countdown.mp4?t=2893/2923&ignore=x.mp4","alan weisman","yes","no","homo sapiens","people","NA","NA","yes","yes","no","right","open","NA","NA","up",NA,NA,"CHECK; contracted"
195,"tiny_number","CSPAN_20140601_204000_Mental_Illness_Report","Mental Illness Report : CSPAN : June 1, 2014 4:40pm-5:54pm EDT","http://archive.org/download/CSPAN_20140601_204000_Mental_Illness_Report/CSPAN_20140601_204000_Mental_Illness_Report.mp4?t=4135/4165&ignore=x.mp4","doris fuller","yes","no","people commiting violence","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"CHECK; touch each other"
