"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
1242,"huge_number","CNBC_20100113_200000_Closing_Bell","Closing Bell : CNBC : January 13, 2010 3:00pm-4:00pm EST","http://archive.org/download/CNBC_20100113_200000_Closing_Bell/CNBC_20100113_200000_Closing_Bell.mp4?t=2952/2982&ignore=x.mp4","reed hastings","yes","no","movie streams, DVD rentals","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand; graph"
1494,"huge_number","MSNBC_20101210_030000_The_Last_Word","The Last Word : MSNBC : December 9, 2010 10:00pm-11:00pm EST","http://archive.org/download/MSNBC_20101210_030000_The_Last_Word/MSNBC_20101210_030000_The_Last_Word.mp4?t=1578/1608&ignore=x.mp4","rabbi michael lerner","yes","no","people","people","NA","NA","yes","yes","not_coded","both","pinch",NA,NA,NA,NA,NA,"fists; move-down"
980,"huge_number","MSNBC_20111019_220000_PoliticsNation","PoliticsNation : MSNBC : October 19, 2011 6:00pm-7:00pm EDT","http://archive.org/download/MSNBC_20111019_220000_PoliticsNation/MSNBC_20111019_220000_PoliticsNation.mp4?t=2886/2916&ignore=x.mp4","herman cain","yes","no","illegals","people","NA","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"move-left; outward-expand?"
2540,"huge_number","MSNBCW_20131212_190000_News_Nation","News Nation : MSNBCW : December 12, 2013 11:00am-12:01pm PST","http://archive.org/download/MSNBCW_20131212_190000_News_Nation/MSNBCW_20131212_190000_News_Nation.mp4?t=492/522&ignore=x.mp4","chris van hollen","yes","no","federal government furloughs","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"outward-expand"
3614,"huge_number","FOXNEWSW_20120905_020000_Americas_Election_Headquarters","America's Election Headquarters : FOXNEWSW : September 4, 2012 7:00pm-8:30pm PDT","http://archive.org/download/FOXNEWSW_20120905_020000_Americas_Election_Headquarters/FOXNEWSW_20120905_020000_Americas_Election_Headquarters.mp4?t=5217/5247&ignore=x.mp4","chris stirewalt","yes","no","twitter posts","other","22004","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"hold-microphone-right"
3744,"huge_number","WTTG_20110804_110000_Fox_Morning_News","Fox Morning News : WTTG : August 4, 2011 7:00am-9:00am EDT","http://archive.org/download/WTTG_20110804_110000_Fox_Morning_News/WTTG_20110804_110000_Fox_Morning_News.mp4?t=5710/5740&ignore=x.mp4","allison seymour","yes","no","money spent on national defense","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"hold-pen-left"
4713,"huge_number","KRON_20110404_140000_KRON_4_Morning_News","KRON 4 Morning News : KRON : April 4, 2011 7:00am-10:23am PDT","http://archive.org/download/KRON_20110404_140000_KRON_4_Morning_News/KRON_20110404_140000_KRON_4_Morning_News.mp4?t=5475/5505&ignore=x.mp4","darya folsom","yes","no","Southwest's outgoing flights","other","2","percent","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"negation; outward-expand"
1238,"huge_number","WETA_20111104_160000_Charlie_Rose","Charlie Rose : WETA : November 4, 2011 12:00pm-1:00pm EDT","http://archive.org/download/WETA_20111104_160000_Charlie_Rose/WETA_20111104_160000_Charlie_Rose.mp4?t=1062/1092&ignore=x.mp4","gerald fischbach","yes","no","lives","life/death","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand; but the \both\\" is inferred given the previous gesture\""
3832,"huge_number","CSPAN_20130210_233000_Senators_on_Immigration","Senators on Immigration : CSPAN : February 10, 2013 6:30pm-8:00pm EST","http://archive.org/download/CSPAN_20130210_233000_Senators_on_Immigration/CSPAN_20130210_233000_Senators_on_Immigration.mp4?t=602/632&ignore=x.mp4","michael bennet","yes","no","moving pieces","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,NA
2231,"huge_number","FOXNEWSW_20130227_020000_Hannity","Hannity : FOXNEWSW : February 26, 2013 6:00pm-7:00pm PST","http://archive.org/download/FOXNEWSW_20130227_020000_Hannity/FOXNEWSW_20130227_020000_Hannity.mp4?t=2498/2528&ignore=x.mp4","sean hannity","yes","no","African American votes","votes","95","percent","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand; hold-pen-right"
7678,"huge_number","CSPAN2_20110629_110000_International_Programming","International Programming : CSPAN2 : June 29, 2011 7:00am-7:30am EDT","http://archive.org/download/CSPAN2_20110629_110000_International_Programming/CSPAN2_20110629_110000_International_Programming.mp4?t=1442/1472&ignore=x.mp4","david cameron","yes","no","people","people","NA","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,NA
3222,"huge_number","CSPAN2_20141015_163000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : October 15, 2014 12:30pm-2:31pm EDT","http://archive.org/download/CSPAN2_20141015_163000_Key_Capitol_Hill_Hearings/CSPAN2_20141015_163000_Key_Capitol_Hill_Hearings.mp4?t=2546/2576&ignore=x.mp4","gabor kelen","yes","no","logistics","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,"down",NA,NA,"move-forward"
4044,"huge_number","CSPAN_20140224_150000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN : February 24, 2014 10:00am-12:01pm EST","http://archive.org/download/CSPAN_20140224_150000_Key_Capitol_Hill_Hearings/CSPAN_20140224_150000_Key_Capitol_Hill_Hearings.mp4?t=5857/5887&ignore=x.mp4","major general h.r. mccaster","yes","no","NA","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
9133,"huge_number","MSNBC_20110211_220000_Hardball_With_Chris_Matthews","Hardball With Chris Matthews : MSNBC : February 11, 2011 5:00pm-5:59pm EST","http://archive.org/download/MSNBC_20110211_220000_Hardball_With_Chris_Matthews/MSNBC_20110211_220000_Hardball_With_Chris_Matthews.mp4?t=431/461&ignore=x.mp4","ron allen","yes","no","tourists","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
5587,"huge_number","CNNW_20131107_140000_CNN_Newsroom","CNN Newsroom : CNNW : November 7, 2013 6:00am-8:01am PST","http://archive.org/download/CNNW_20131107_140000_CNN_Newsroom/CNNW_20131107_140000_CNN_Newsroom.mp4?t=1900/1930&ignore=x.mp4","zain asher","yes","no","orders","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-hold"
9314,"huge_number","FOXNEWSW_20120130_050000_Stossel","Stossel : FOXNEWSW : January 29, 2012 9:00pm-10:00pm PST","http://archive.org/download/FOXNEWSW_20120130_050000_Stossel/FOXNEWSW_20120130_050000_Stossel.mp4?t=1037/1067&ignore=x.mp4","newt gingrich","yes","no","money spent on fraud in medicare & medicaid","financial","8.5e+10","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,NA
8519,"huge_number","ALJAZAM_20140706_213000_The_Stream","The Stream : ALJAZAM : July 6, 2014 5:30pm-6:01pm EDT","http://archive.org/download/ALJAZAM_20140706_213000_The_Stream/ALJAZAM_20140706_213000_The_Stream.mp4?t=576/606&ignore=x.mp4","sebastian anthony","yes","no","questions","other","1e+06","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
2588,"huge_number","KCSM_20140125_030000_The_Debate","The Debate : KCSM : January 24, 2014 7:00pm-8:01pm PST","http://archive.org/download/KCSM_20140125_030000_The_Debate/KCSM_20140125_030000_The_Debate.mp4?t=1093/1123&ignore=x.mp4","craig copetas","yes","no","Syrian refugees in Lebenon","people","2e+05","NA","yes","yes","not_coded","right","pinch",NA,NA,NA,NA,NA,"hold-pen-right; slightly-before; then-rest-to-table"
4192,"huge_number","CSPAN2_20140902_183000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : September 2, 2014 2:30pm-4:31pm EDT","http://archive.org/download/CSPAN2_20140902_183000_Key_Capitol_Hill_Hearings/CSPAN2_20140902_183000_Key_Capitol_Hill_Hearings.mp4?t=235/265&ignore=x.mp4","kent rominger","yes","no","aerospace engineering technical fields","other","NA","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"hold-paper-left"
541,"huge_number","CSPAN_20141005_040000_Bill_Gates_on_the_Ebola_Virus_Outbreak_in_West_Africa","Bill Gates on the Ebola Virus Outbreak in West Africa : CSPAN : October 5, 2014 12:00am-12:58am EDT","http://archive.org/download/CSPAN_20141005_040000_Bill_Gates_on_the_Ebola_Virus_Outbreak_in_West_Africa/CSPAN_20141005_040000_Bill_Gates_on_the_Ebola_Virus_Outbreak_in_West_Africa.mp4?t=1362/1392&ignore=x.mp4","bill gates","yes","no","problems","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
7966,"huge_number","WBAL_20110201_110000_11_News_Today","11 News Today : WBAL : February 1, 2011 6:00am-7:00am EST","http://archive.org/download/WBAL_20110201_110000_11_News_Today/WBAL_20110201_110000_11_News_Today.mp4?t=1698/1728&ignore=x.mp4","david ottaway","yes","no","people in Cairo & Alexandria","people","5e+05","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand; but-slightly-afterwards; (timing-mismatch?)"
1228,"huge_number","CNBC_20120628_220000_Mad_Money","Mad Money : CNBC : June 28, 2012 6:00pm-7:00pm EDT","http://archive.org/download/CNBC_20120628_220000_Mad_Money/CNBC_20120628_220000_Mad_Money.mp4?t=265/295&ignore=x.mp4","jim cramer","yes","no","cuts for the banks","financial","NA","NA","yes","yes","not_coded","NA","NA",NA,NA,NA,NA,NA,"presses a button"
6588,"huge_number","CSPAN_20091225_180000_U.S._House_of_Representatives","U.S. House of Representatives : CSPAN : December 25, 2009 1:00pm-6:30pm EST","http://archive.org/download/CSPAN_20091225_180000_U.S._House_of_Representatives/CSPAN_20091225_180000_U.S._House_of_Representatives.mp4?t=4633/4663&ignore=x.mp4","phyllis bennis","yes","no","bases, troops","people","1000","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"hold-pen-left; outward-expand"
4104,"huge_number","CNBC_20140519_130000_Squawk_on_the_Street","Squawk on the Street : CNBC : May 19, 2014 9:00am-11:01am EDT","http://archive.org/download/CNBC_20140519_130000_Squawk_on_the_Street/CNBC_20140519_130000_Squawk_on_the_Street.mp4?t=1121/1151&ignore=x.mp4","jim cramer","yes","no","ads","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"graph; up-and-down-wave"
3586,"huge_number","CSPAN_20110403_223000_Road_to_the_White_House","Road to the White House : CSPAN : April 3, 2011 6:30pm-8:00pm EDT","http://archive.org/download/CSPAN_20110403_223000_Road_to_the_White_House/CSPAN_20110403_223000_Road_to_the_White_House.mp4?t=2154/2184&ignore=x.mp4","mitt romney","yes","no","people","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand; but also related to \draw in\\"\""
7271,"huge_number","ALJAZAM_20140823_213000_The_Stream","The Stream : ALJAZAM : August 23, 2014 5:30pm-6:01pm EDT","http://archive.org/download/ALJAZAM_20140823_213000_The_Stream/ALJAZAM_20140823_213000_The_Stream.mp4?t=1754/1784&ignore=x.mp4","paul shapiro","yes","no","animals","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
8740,"huge_number","CNBC_20120315_220000_Mad_Money","Mad Money : CNBC : March 15, 2012 6:00pm-7:00pm EDT","http://archive.org/download/CNBC_20120315_220000_Mad_Money/CNBC_20120315_220000_Mad_Money.mp4?t=1739/1769&ignore=x.mp4","jim cramer","yes","no","off shore oil rigs","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"jim cramer's weird pointing gesture"
6115,"huge_number","CSPAN2_20110803_130000_U.S._Senate","U.S. Senate : CSPAN2 : August 3, 2011 9:00am-12:00pm EDT","http://archive.org/download/CSPAN2_20110803_130000_U.S._Senate/CSPAN2_20110803_130000_U.S._Senate.mp4?t=9310/9340&ignore=x.mp4","fawn johnson","yes","no","FAA employees working w/out pay","people","40","NA","yes","yes","not_coded","both","pinch",NA,NA,NA,NA,NA,"pinch with left hand only; NEGATION"
7428,"huge_number","FBC_20131025_170000_Markets_Now","Markets Now : FBC : October 25, 2013 1:00pm-3:01pm EDT","http://archive.org/download/FBC_20131025_170000_Markets_Now/FBC_20131025_170000_Markets_Now.mp4?t=2477/2507&ignore=x.mp4","lori rothman","yes","no","seasonal employment jobs","jobs","55000","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,NA
6758,"huge_number","CSPAN2_20130604_160000_U.S._Senate","U.S. Senate : CSPAN2 : June 4, 2013 12:00pm-5:01pm EDT","http://archive.org/download/CSPAN2_20130604_160000_U.S._Senate/CSPAN2_20130604_160000_U.S._Senate.mp4?t=11790/11820&ignore=x.mp4","bernie sanders","yes","no","American information & technology jobs","jobs","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"move-right"
5839,"huge_number","MSNBCW_20140823_140000_Melissa_Harris-Perry","Melissa Harris-Perry : MSNBCW : August 23, 2014 7:00am-9:01am PDT","http://archive.org/download/MSNBCW_20140823_140000_Melissa_Harris-Perry/MSNBCW_20140823_140000_Melissa_Harris-Perry.mp4?t=3288/3318&ignore=x.mp4","alexander van tulleken","yes","no","cases of ebola outbreak ","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"NEGATION"
8656,"huge_number","CSPAN_20120727_110000_Washington_Journal","Washington Journal : CSPAN : July 27, 2012 7:00am-9:00am EDT","http://archive.org/download/CSPAN_20120727_110000_Washington_Journal/CSPAN_20120727_110000_Washington_Journal.mp4?t=3594/3624&ignore=x.mp4","mitch mcconnell","yes","no","sr citizens in Kentucky","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
4601,"huge_number","CNBC_20120706_080000_Worldwide_Exchange","Worldwide Exchange : CNBC : July 6, 2012 4:00am-6:00am EDT","http://archive.org/download/CNBC_20120706_080000_Worldwide_Exchange/CNBC_20120706_080000_Worldwide_Exchange.mp4?t=7119/7149&ignore=x.mp4","michelle caruso-cabrera","yes","no","June jobs reported in July","jobs","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
4926,"huge_number","CSPAN2_20120405_000000_Tonight_From_Washington","Tonight From Washington : CSPAN2 : April 4, 2012 8:00pm-11:00pm EDT","http://archive.org/download/CSPAN2_20120405_000000_Tonight_From_Washington/CSPAN2_20120405_000000_Tonight_From_Washington.mp4?t=3212/3242&ignore=x.mp4","NA","yes","no","people","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
8723,"huge_number","WUSA_20101124_110000_9News_Now_at_6am","9News Now at 6am : WUSA : November 24, 2010 6:00am-7:00am EST","http://archive.org/download/WUSA_20101124_110000_9News_Now_at_6am/WUSA_20101124_110000_9News_Now_at_6am.mp4?t=2085/2115&ignore=x.mp4","kristin fisher","yes","no","money spent on hidden airline fees","financial","1.5e+08","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"hold-microphone-right; moves her left hand outwards (very bottom behind the blue area)"
6535,"huge_number","CSPAN2_20090731_160000_U.S._Senate","U.S. Senate : CSPAN2 : July 31, 2009 12:00pm-5:00pm EDT","http://archive.org/download/CSPAN2_20090731_160000_U.S._Senate/CSPAN2_20090731_160000_U.S._Senate.mp4?t=7768/7798&ignore=x.mp4","cliff stearns","yes","no","islands","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"\strech out\\"\""
1874,"huge_number","WBAL_20100111_083000_Meet_the_Press","Meet the Press : WBAL : January 11, 2010 3:30am-4:30am EST","http://archive.org/download/WBAL_20100111_083000_Meet_the_Press/WBAL_20100111_083000_Meet_the_Press.mp4?t=3010/3040&ignore=x.mp4","chuck todd","yes","no","votes","votes","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"move-forward"
4805,"huge_number","CNN_20100204_180000_CNN_Newsroom","CNN Newsroom : CNN : February 4, 2010 1:00pm-3:00pm EST","http://archive.org/download/CNN_20100204_180000_CNN_Newsroom/CNN_20100204_180000_CNN_Newsroom.mp4?t=2828/2858&ignore=x.mp4","brianna keilar","yes","no","increase in debt ceiling","financial","1.4e+13","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"deictic to screen; graph(?); move-up"
4141,"huge_number","SFGTV2_20120418_230000","SFGTV2 : April 18, 2012 4:00pm-4:30pm PDT","http://archive.org/download/SFGTV2_20120418_230000/SFGTV2_20120418_230000.mp4?t=160/190&ignore=x.mp4","NA","yes","no","people","people","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"not-simultaneous; outward-expand"
6384,"huge_number","CSPAN_20130606_170000_Public_Affairs","Public Affairs : CSPAN : June 6, 2013 1:00pm-5:01pm EDT","http://archive.org/download/CSPAN_20130606_170000_Public_Affairs/CSPAN_20130606_170000_Public_Affairs.mp4?t=4064/4094&ignore=x.mp4","louie gohmert","yes","no","regulations","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"outward-expand"
5465,"huge_number","CSPAN_20130514_140000_Public_Affairs","Public Affairs : CSPAN : May 14, 2013 10:00am-1:01pm EDT","http://archive.org/download/CSPAN_20130514_140000_Public_Affairs/CSPAN_20130514_140000_Public_Affairs.mp4?t=3747/3777&ignore=x.mp4","jeff sessions","yes","yes","green cards","other","3e+07","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"watch-out"
5070,"huge_number","CSPAN_20090730_110000_Washington_Journal","Washington Journal : CSPAN : July 30, 2009 7:00am-10:00am EDT","http://archive.org/download/CSPAN_20090730_110000_Washington_Journal/CSPAN_20090730_110000_Washington_Journal.mp4?t=4239/4269&ignore=x.mp4","tom harkin","yes","no","calls","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"not-quite-aligned"
5491,"huge_number","CSPAN_20130613_110000_Washington_Journal","Washington Journal : CSPAN : June 13, 2013 7:00am-10:01am EDT","http://archive.org/download/CSPAN_20130613_110000_Washington_Journal/CSPAN_20130613_110000_Washington_Journal.mp4?t=7100/7130&ignore=x.mp4","randy forbes","yes","no","American people","people","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"barely-visible; by inference with the gesture afterwards it must be open; hold"
6015,"huge_number","MSNBC_20111230_110000_Morning_Joe","Morning Joe : MSNBC : December 30, 2011 6:00am-9:00am EST","http://archive.org/download/MSNBC_20111230_110000_Morning_Joe/MSNBC_20111230_110000_Morning_Joe.mp4?t=186/216&ignore=x.mp4","willie geist","yes","no","crowds","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"on \swollen\\" immediately BEFORE huge number\""
6318,"huge_number","MSNBC_20120919_100000_Morning_Joe","Morning Joe : MSNBC : September 19, 2012 6:00am-9:00am EDT","http://archive.org/download/MSNBC_20120919_100000_Morning_Joe/MSNBC_20120919_100000_Morning_Joe.mp4?t=3084/3114&ignore=x.mp4","keith ellison","yes","no","people","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,NA
6572,"huge_number","CSPAN2_20120410_160000_U.S._Senate","U.S. Senate : CSPAN2 : April 10, 2012 12:00pm-5:00pm EDT","http://archive.org/download/CSPAN2_20120410_160000_U.S._Senate/CSPAN2_20120410_160000_U.S._Senate.mp4?t=8327/8357&ignore=x.mp4","william brock","yes","no","countries","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"slightly before"
5077,"huge_number","CSPAN_20100103_070000_C-SPAN_Weekend","C-SPAN Weekend : CSPAN : January 3, 2010 2:00am-6:00am EST","http://archive.org/download/CSPAN_20100103_070000_C-SPAN_Weekend/CSPAN_20100103_070000_C-SPAN_Weekend.mp4?t=12988/13018&ignore=x.mp4","david winston","yes","no","resources","financial","NA","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"\huge overwhelming number\\"\""
5376,"huge_number","CSPAN_20130101_150000_Public_Affairs","Public Affairs : CSPAN : January 1, 2013 10:00am-1:00pm EST","http://archive.org/download/CSPAN_20130101_150000_Public_Affairs/CSPAN_20130101_150000_Public_Affairs.mp4?t=1460/1490&ignore=x.mp4","zanny minton beddoes","yes","no","problems","other","NA","NA","yes","yes","not_coded","both","open(left) + closed(right)",NA,NA,NA,NA,NA,NA
2823,"huge_number","CSPAN2_20140614_194500_Book_Discussion_on_The_Reckoning","Book Discussion on The Reckoning : CSPAN2 : June 14, 2014 3:45pm-5:03pm EDT","http://archive.org/download/CSPAN2_20140614_194500_Book_Discussion_on_The_Reckoning/CSPAN2_20140614_194500_Book_Discussion_on_The_Reckoning.mp4?t=1942/1972&ignore=x.mp4","jacob soll","yes","no","pictures","other","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,NA
2293,"huge_number","CNNW_20130522_000000_Anderson_Cooper_360","Anderson Cooper 360 : CNNW : May 21, 2013 5:00pm-6:01pm PDT","http://archive.org/download/CNNW_20130522_000000_Anderson_Cooper_360/CNNW_20130522_000000_Anderson_Cooper_360.mp4?t=694/724&ignore=x.mp4","anderson cooper","yes","no","fatalities","life/death","24","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"slightly before"
7474,"huge_number","MSNBCW_20120611_150000_MSNBC_Live","MSNBC Live : MSNBCW : June 11, 2012 8:00am-9:00am PDT","http://archive.org/download/MSNBCW_20120611_150000_MSNBC_Live/MSNBCW_20120611_150000_MSNBC_Live.mp4?t=385/415&ignore=x.mp4","bob shrum","yes","no","jobs","jobs","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"GREAT example"
2548,"huge_number","FBC_20131227_200000_Countdown_to_the_Closing_Bell","Countdown to the Closing Bell : FBC : December 27, 2013 3:00pm-4:01pm EST","http://archive.org/download/FBC_20131227_200000_Countdown_to_the_Closing_Bell/FBC_20131227_200000_Countdown_to_the_Closing_Bell.mp4?t=1771/1801&ignore=x.mp4","chris krolow","yes","no","inquires","other","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"opens up both sides (shortly visible)"
9756,"huge_number","CNBC_20130627_220000_Mad_Money","Mad Money : CNBC : June 27, 2013 6:00pm-7:01pm EDT","http://archive.org/download/CNBC_20130627_220000_Mad_Money/CNBC_20130627_220000_Mad_Money.mp4?t=655/685&ignore=x.mp4","jim cramer","yes","no","stock numbers","financial","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,NA
6261,"huge_number","CSPAN_20120728_023000_Politics__Public_Policy_Today","Politics & Public Policy Today : CSPAN : July 27, 2012 10:30pm-6:00am EDT","http://archive.org/download/CSPAN_20120728_023000_Politics__Public_Policy_Today/CSPAN_20120728_023000_Politics__Public_Policy_Today.mp4?t=11334/11364&ignore=x.mp4","mitch mcconnell","yes","no","sr citizens in Kentucky","people","NA","NA","yes","yes","no","both","open","NA","NA","inward/up",NA,NA,"CHECK"
5022,"huge_number","CSPAN_20100925_060000_Today_in_Washington","Today in Washington : CSPAN : September 25, 2010 2:00am-6:00am EDT","http://archive.org/download/CSPAN_20100925_060000_Today_in_Washington/CSPAN_20100925_060000_Today_in_Washington.mp4?t=7361/7391&ignore=x.mp4","howard berman","yes","no","people","people","NA","NA","yes","yes","right","left","fist","NA","NA","NA",NA,NA,NA
7577,"huge_number","FOXNEWSW_20120520_140000_Americas_News_Headquarters","America's News Headquarters : FOXNEWSW : May 20, 2012 7:00am-7:30am PDT","http://archive.org/download/FOXNEWSW_20120520_140000_Americas_News_Headquarters/FOXNEWSW_20120520_140000_Americas_News_Headquarters.mp4?t=980/1010&ignore=x.mp4","shane d'aprile","yes","no","money spent on negative political ads","financial","2.1e+07","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
3236,"huge_number","CNN_20090913_100000_CNN_Newsroom","CNN Newsroom : CNN : September 13, 2009 6:00am-7:30am EDT","http://archive.org/download/CNN_20090913_100000_CNN_Newsroom/CNN_20090913_100000_CNN_Newsroom.mp4?t=833/863&ignore=x.mp4","betty nguyen","yes","no","federal bureaucracies","other","NA","NA","yes","yes","no","right","pinch","precision_grip","no","NA",NA,NA,NA
4356,"huge_number","CNBC_20130305_110000_Squawk_Box","Squawk Box : CNBC : March 5, 2013 6:00am-9:00am EST","http://archive.org/download/CNBC_20130305_110000_Squawk_Box/CNBC_20130305_110000_Squawk_Box.mp4?t=5915/5945&ignore=x.mp4","geoffrey canada","yes","no","young people","people","NA","NA","yes","yes","no","both","open","NA","NA","CHECK",NA,NA,NA
970,"huge_number","WUSA_20091122_160000_This_Week_in_Defense","This Week in Defense : WUSA : November 22, 2009 11:00am-11:30am EST","http://archive.org/download/WUSA_20091122_160000_This_Week_in_Defense/WUSA_20091122_160000_This_Week_in_Defense.mp4?t=1368/1398&ignore=x.mp4","vago muradian","yes","no","American troops","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
7804,"huge_number","CSPAN2_20111023_152000_Book_TV","Book TV : CSPAN2 : October 23, 2011 11:20am-12:00pm EDT","http://archive.org/download/CSPAN2_20111023_152000_Book_TV/CSPAN2_20111023_152000_Book_TV.mp4?t=1082/1112&ignore=x.mp4","steven barnes","yes","no","sub camps","other","NA","NA","yes","yes","no","right","open","NA","NA","NA",NA,NA,"CHECK"
1938,"huge_number","CSPAN3_20120217_210000","CSPAN3 : February 17, 2012 4:00pm-4:30pm EST","http://ia600800.us.archive.org/34/items/CSPAN3_20120217_210000/CSPAN3_20120217_210000.mp4?start=1358&end=1388&ignore=x.mp4","dominic barton","yes","no","jobs","jobs","NA","NA","yes","yes","left","both","open","NA","NA","inward",NA,NA,"changed-link"
3852,"huge_number","WUSA_20130201_120000_CBS_This_Morning","CBS This Morning : WUSA : February 1, 2013 7:00am-9:00am EST","http://archive.org/download/WUSA_20130201_120000_CBS_This_Morning/WUSA_20130201_120000_CBS_This_Morning.mp4?t=4916/4946&ignore=x.mp4","leslie moonves","yes","no","super bowl audience","people","NA","NA","yes","yes","no","both","open","NA","NA","towards_body",NA,NA,"outward-expand"
8803,"huge_number","MSNBC_20110331_220000_MSNBC_Live","MSNBC Live : MSNBC : March 31, 2011 6:00pm-7:00pm EDT","http://ia902202.us.archive.org/17/items/MSNBC_20110331_220000_MSNBC_Live/MSNBC_20110331_220000_MSNBC_Live.mp4?start=1911&end=1941&ignore=x.mp4","cenk uygur","yes","no","support for legalizing marijuana","other","NA","NA","yes","yes","no","both","open","NA","NA","towards_body",NA,NA,"gone up; discuss"
296,"huge_number","ALJAZAM_20140413_180000_News","News : ALJAZAM : April 13, 2014 2:00pm-3:01pm EDT","http://archive.org/download/ALJAZAM_20140413_180000_News/ALJAZAM_20140413_180000_News.mp4?t=3380/3410&ignore=x.mp4","rob reynolds","yes","no","sea star deaths","life/death","NA","NA","yes","yes","no","both","open","NA","NA","down",NA,NA,NA
7512,"huge_number","MSNBCW_20140522_010000_The_Rachel_Maddow_Show","The Rachel Maddow Show : MSNBCW : May 21, 2014 6:00pm-7:01pm PDT","http://archive.org/download/MSNBCW_20140522_010000_The_Rachel_Maddow_Show/MSNBCW_20140522_010000_The_Rachel_Maddow_Show.mp4?t=784/814&ignore=x.mp4","rachel maddow","yes","no","veterans eligible to get their healthcare from the V.A.","people","NA","NA","yes","yes","right","both","open","NA","NA","up",NA,NA,NA
